Filenames,Depths,White percents
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010017.jpg,45,0.6571054458618164
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010039.jpg,15,0.5161285400390625
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010061.jpg,585,1.3352155685424805
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010071.jpg,7100,2.8075218200683594
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010164.jpg,2200,1.5502214431762695
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_SK658 Slobe ch010066.jpg,1000,1.4475584030151367
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_SK658 Slobe ch010087.jpg,8000,3.6959409713745117
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_SK658 Slobe ch010089.jpg,10000,8.81803035736084
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_SK658 Slobe ch010093.jpg,9300,4.027652740478516
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_SK658 Slobe ch010096.jpg,9400,4.289007186889648
/Users/Melanie/Downloads/Comp_BME/Module2_LungFibrosis/MASK_Sk658 Llobe ch010030.jpg,200,0.9011983871459961
